stocfl,stocsu,stocsc
"dpyr      ","SUD       ",  -0.57400
"dSedIM1   ","IM1       ",  -1.00000
"dSedIM1   ","IM1S1     ",   1.00000
"dSedIM2   ","IM2       ",  -1.00000
"dSedIM2   ","IM2S1     ",   1.00000
"dSedIM3   ","IM3       ",  -1.00000
"dSedIM3   ","IM3S1     ",   1.00000
"dSedDiat  ","Diat      ",  -1.00000
"dSedGreen ","Green     ",  -1.00000
"dSedAlg   ","APHANFIX  ",  -1.00000
"dSedAlg   ","APHANIZO  ",  -1.00000
"dSedAlg   ","BLUEGRN   ",  -1.00000
"dSedAlg   ","DINOFLAG  ",  -1.00000
"dSedAlg   ","DINOMIX   ",  -1.00000
"dSedAlg   ","FDIATOMS  ",  -1.00000
"dSedAlg   ","FFLAGELA  ",  -1.00000
"dSedAlg   ","GREENS    ",  -1.00000
"dSedAlg   ","MDIATOMS  ",  -1.00000
"dSedAlg   ","MFLAGELA  ",  -1.00000
"dSedAlg   ","MICROCYS  ",  -1.00000
"dSedAlg   ","OSCILAT   ",  -1.00000
"dSedAlg   ","PHAEOCYS  ",  -1.00000
"dSedAlg   ","UlvaF     ",  -1.00000
"dSedAlg   ","UlvaS     ",  -1.00000
"dSedAlg   ","NODULA    ",  -1.00000
"dSedAlg   ","ANABAENA  ",  -1.00000
"dSedAlg01 ","BLOOMALG01",  -1.00000
"dSedAlg02 ","BLOOMALG02",  -1.00000
"dSedAlg03 ","BLOOMALG03",  -1.00000
"dSedAlg04 ","BLOOMALG04",  -1.00000
"dSedAlg05 ","BLOOMALG05",  -1.00000
"dSedAlg06 ","BLOOMALG06",  -1.00000
"dSedAlg07 ","BLOOMALG07",  -1.00000
"dSedAlg08 ","BLOOMALG08",  -1.00000
"dSedAlg09 ","BLOOMALG09",  -1.00000
"dSedAlg10 ","BLOOMALG10",  -1.00000
"dSedAlg11 ","BLOOMALG11",  -1.00000
"dSedAlg12 ","BLOOMALG12",  -1.00000
"dSedAlg13 ","BLOOMALG13",  -1.00000
"dSedAlg14 ","BLOOMALG14",  -1.00000
"dSedAlg15 ","BLOOMALG15",  -1.00000
"dSedAlg16 ","BLOOMALG16",  -1.00000
"dSedAlg17 ","BLOOMALG17",  -1.00000
"dSedAlg18 ","BLOOMALG18",  -1.00000
"dSedAlg19 ","BLOOMALG19",  -1.00000
"dSedAlg20 ","BLOOMALG20",  -1.00000
"dSedAlg21 ","BLOOMALG21",  -1.00000
"dSedAlg22 ","BLOOMALG22",  -1.00000
"dSedAlg23 ","BLOOMALG23",  -1.00000
"dSedAlg24 ","BLOOMALG24",  -1.00000
"dSedAlg25 ","BLOOMALG25",  -1.00000
"dSedAlg26 ","BLOOMALG26",  -1.00000
"dSedAlg27 ","BLOOMALG27",  -1.00000
"dSedAlg28 ","BLOOMALG28",  -1.00000
"dSedAlg29 ","BLOOMALG29",  -1.00000
"dSedAlg30 ","BLOOMALG30",  -1.00000
"dSedBOD5  ","CBOD5     ",  -1.00000
"dSedBOD5_2","CBOD5_2   ",  -1.00000
"dSedBOD5_3","CBOD5_3   ",  -1.00000
"dSedBODu  ","CBODu     ",  -1.00000
"dSedBODu_2","CBODu_2   ",  -1.00000
"dSedCODCr ","COD_Cr    ",  -1.00000
"dSedCODMn ","COD_Mn    ",  -1.00000
"dSedNBOD5 ","NBOD5     ",  -1.00000
"dSedNBODu ","NBODu     ",  -1.00000
"dSedSOD   ","SOD       ",   1.00000
"dSedPHYT  ","DetCS1    ",   1.00000
"dSedAlgN  ","DetNS1    ",   1.00000
"dSedAlgP  ","DetPS1    ",   1.00000
"dSedAlgSi ","DetSiS1   ",   1.00000
"dSedOpal  ","Opal      ",  -1.00000
"dSedOpal  ","DetSiS1   ",   1.00000
"dSedPOC1  ","POC1      ",  -1.00000
"dSedPOC1  ","DetCS1    ",   1.00000
"dSedPOC2  ","POC2      ",  -1.00000
"dSedPOC2  ","OOCS1     ",   1.00000
"dSedPOC3  ","POC3      ",  -1.00000
"dSedPOC3  ","OOCS1     ",   1.00000
"dSedPOC4  ","POC4      ",  -1.00000
"dSedPOC4  ","OOCS1     ",   1.00000
"dSedPON1  ","PON1      ",  -1.00000
"dSedPON1  ","DetNS1    ",   1.00000
"dSedPOP1  ","POP1      ",  -1.00000
"dSedPOP1  ","DetPS1    ",   1.00000
"dSedPOS1  ","POS1      ",  -1.00000
"dSedPON2  ","PON2      ",  -1.00000
"dSedPON2  ","OONS1     ",   1.00000
"dSedPOP2  ","POP2      ",  -1.00000
"dSedPOP2  ","OOPS1     ",   1.00000
"dSedPOS2  ","POS2      ",  -1.00000
"dSedPON3  ","PON3      ",  -1.00000
"dSedPON3  ","OONS1     ",   1.00000
"dSedPOP3  ","POP3      ",  -1.00000
"dSedPOP3  ","OOPS1     ",   1.00000
"dSedPOS3  ","POS3      ",  -1.00000
"dSedPON4  ","PON4      ",  -1.00000
"dSedPON4  ","OONS1     ",   1.00000
"dSedPOP4  ","POP4      ",  -1.00000
"dSedPOP4  ","OOPS1     ",   1.00000
"dSedPOS4  ","POS4      ",  -1.00000
"dSedAAP   ","AAP       ",  -1.00000
"dSedAAP   ","AAPS1     ",   1.00000
"dSWSedAAP ","AAP       ",  -1.00000
"dResS1DetC","POC1      ",   1.00000
"dResS1DetC","DetCS1    ",  -1.00000
"dResS2DetC","DetCS2    ",  -1.00000
"dResS2DetC","POC1      ",   1.00000
"dBurS1DetC","DetCS1    ",  -1.00000
"dBurS1DetC","DetCS2    ",   1.00000
"dSWBuS1DtC","DetCS1    ",  -1.00000
"dBurS2DetC","DetCS2    ",  -1.00000
"dDigS1DetC","DetCS1    ",   1.00000
"dDigS1DetC","DetCS2    ",  -1.00000
"dDigS2DetC","DetCS2    ",   1.00000
"dResS1DetN","PON1      ",   1.00000
"dResS1DetN","DetNS1    ",  -1.00000
"dResS2DetN","DetNS2    ",  -1.00000
"dResS2DetN","PON1      ",   1.00000
"dBurS1DetN","DetNS1    ",  -1.00000
"dBurS1DetN","DetNS2    ",   1.00000
"dSWBuS1DtN","DetNS1    ",  -1.00000
"dBurS2DetN","DetNS2    ",  -1.00000
"dDigS1DetN","DetNS1    ",   1.00000
"dDigS1DetN","DetNS2    ",  -1.00000
"dDigS2DetN","DetNS2    ",   1.00000
"dResS1DetP","POP1      ",   1.00000
"dResS1DetP","DetPS1    ",  -1.00000
"dResS2DetP","DetPS2    ",  -1.00000
"dResS2DetP","POP1      ",   1.00000
"dBurS1DetP","DetPS1    ",  -1.00000
"dBurS1DetP","DetPS2    ",   1.00000
"dSWBuS1DtP","DetPS1    ",  -1.00000
"dBurS2DetP","DetPS2    ",  -1.00000
"dDigS1DetP","DetPS1    ",   1.00000
"dDigS1DetP","DetPS2    ",  -1.00000
"dDigS2DetP","DetPS2    ",   1.00000
"dResS1DetS","Opal      ",   1.00000
"dResS1DetS","DetSiS1   ",  -1.00000
"dResS2DetS","DetSiS2   ",  -1.00000
"dResS2DetS","Opal      ",   1.00000
"dBurS1DetS","DetSiS1   ",  -1.00000
"dBurS1DetS","DetSiS2   ",   1.00000
"dSWBuS1DtS","DetSiS1   ",  -1.00000
"dBurS2DetS","DetSiS2   ",  -1.00000
"dDigS1DetS","DetSiS1   ",   1.00000
"dDigS1DetS","DetSiS2   ",  -1.00000
"dDigS2DetS","DetSiS2   ",   1.00000
"dResS1OOC ","POC2      ",   1.00000
"dResS1OOC ","OOCS1     ",  -1.00000
"dResS2OOC ","OOCS2     ",  -1.00000
"dResS2OOC ","POC2      ",   1.00000
"dBurS1OOC ","OOCS1     ",  -1.00000
"dBurS1OOC ","OOCS2     ",   1.00000
"dSWBuS1OOC","OOCS1     ",  -1.00000
"dBurS2OOC ","OOCS2     ",  -1.00000
"dDigS1OOC ","OOCS1     ",   1.00000
"dDigS1OOC ","OOCS2     ",  -1.00000
"dDigS2OOC ","OOCS2     ",   1.00000
"dResS1OON ","PON2      ",   1.00000
"dResS1OON ","OONS1     ",  -1.00000
"dResS2OON ","OONS2     ",  -1.00000
"dResS2OON ","PON2      ",   1.00000
"dBurS1OON ","OONS1     ",  -1.00000
"dBurS1OON ","OONS2     ",   1.00000
"dSWBuS1OON","OONS1     ",  -1.00000
"dBurS2OON ","OONS2     ",  -1.00000
"dDigS1OON ","OONS1     ",   1.00000
"dDigS1OON ","OONS2     ",  -1.00000
"dDigS2OON ","OONS2     ",   1.00000
"dResS1OOP ","POP2      ",   1.00000
"dResS1OOP ","OOPS1     ",  -1.00000
"dResS2OOP ","OOPS2     ",  -1.00000
"dResS2OOP ","POP2      ",   1.00000
"dBurS1OOP ","OOPS1     ",  -1.00000
"dBurS1OOP ","OOPS2     ",   1.00000
"dSWBuS1OOP","OOPS1     ",  -1.00000
"dBurS2OOP ","OOPS2     ",  -1.00000
"dDigS1OOP ","OOPS1     ",   1.00000
"dDigS1OOP ","OOPS2     ",  -1.00000
"dDigS2OOP ","OOPS2     ",   1.00000
"dResS1OOSi","Opal      ",   1.00000
"dResS1OOSi","OOSiS1    ",  -1.00000
"dResS2OOSi","OOSiS2    ",  -1.00000
"dResS2OOSi","Opal      ",   1.00000
"dBurS1OOS ","OOSiS1    ",  -1.00000
"dBurS1OOS ","OOSiS2    ",   1.00000
"dSWBuS1OOS","OOSiS1    ",  -1.00000
"dBurS2OOS ","OOSiS2    ",  -1.00000
"dDigS1OOS ","OOSiS1    ",   1.00000
"dDigS1OOS ","OOSiS2    ",  -1.00000
"dDigS2OOS ","OOSiS2    ",   1.00000
"dResS1Diat","POC1      ",   1.00000
"dResS1Diat","DiatS1    ",  -1.00000
"dResS2Diat","DiatS2    ",  -1.00000
"dResS2Diat","POC1      ",   1.00000
"dBurS1Diat","DiatS1    ",  -1.00000
"dBurS1Diat","DiatS2    ",   1.00000
"dSWBuS1Dia","DiatS1    ",  -1.00000
"dBurS2Diat","DiatS2    ",  -1.00000
"dDigS1Diat","DiatS1    ",   1.00000
"dDigS1Diat","DiatS2    ",  -1.00000
"dDigS2Diat","DiatS2    ",   1.00000
"dResS1DiDN","PON1      ",   1.00000
"dResS1DiDP","POP1      ",   1.00000
"dResS1DiDS","OPAL      ",   1.00000
"dResS2DiDN","PON1      ",   1.00000
"dResS2DiDP","POP1      ",   1.00000
"dResS2DiDS","OPAL      ",   1.00000
"dResS1MPB1","MPB1peli  ",   1.00000
"dResS1MPB1","MPB1S1    ",  -1.00000
"dResS2MPB1","MPB1S2    ",  -1.00000
"dResS2MPB1","MPB1peli  ",   1.00000
"dBurS1MPB1","MPB1S1    ",  -1.00000
"dBurS1MPB1","MPB1S2    ",   1.00000
"dBurS2MPB1","MPB1S2    ",  -1.00000
"dDigS1MPB1","MPB1S1    ",   1.00000
"dDigS1MPB1","MPB1S2    ",  -1.00000
"dDigS2MPB1","MPB1S2    ",   1.00000
"dResS1MPB2","MPB2psam  ",   1.00000
"dResS1MPB2","MPB2S1    ",  -1.00000
"dResS2MPB2","MPB2S2    ",  -1.00000
"dResS2MPB2","MPB2psam  ",   1.00000
"dBurS1MPB2","MPB2S1    ",  -1.00000
"dBurS1MPB2","MPB2S2    ",   1.00000
"dBurS2MPB2","MPB2S2    ",  -1.00000
"dDigS1MPB2","MPB2S1    ",   1.00000
"dDigS1MPB2","MPB2S2    ",  -1.00000
"dDigS2MPB2","MPB2S2    ",   1.00000
"dResS1IM1 ","IM1       ",   1.00000
"dResS1IM1 ","IM1S1     ",  -1.00000
"dResS2IM1 ","IM1S2     ",  -1.00000
"dResS2IM1 ","IM1       ",   1.00000
"dBurS1IM1 ","IM1S1     ",  -1.00000
"dBurS1IM1 ","IM1S2     ",   1.00000
"dBurS2IM1 ","IM1S2     ",  -1.00000
"dDigS1IM1 ","IM1S1     ",   1.00000
"dDigS1IM1 ","IM1S2     ",  -1.00000
"dDigS2IM1 ","IM1S2     ",   1.00000
"dResS1IM2 ","IM2       ",   1.00000
"dResS1IM2 ","IM2S1     ",  -1.00000
"dResS2IM2 ","IM2S2     ",  -1.00000
"dResS2IM2 ","IM2       ",   1.00000
"dBurS1IM2 ","IM2S1     ",  -1.00000
"dBurS1IM2 ","IM2S2     ",   1.00000
"dBurS2IM2 ","IM2S2     ",  -1.00000
"dDigS1IM2 ","IM2S1     ",   1.00000
"dDigS1IM2 ","IM2S2     ",  -1.00000
"dDigS2IM2 ","IM2S2     ",   1.00000
"dResS1IM3 ","IM3       ",   1.00000
"dResS1IM3 ","IM3S1     ",  -1.00000
"dResS2IM3 ","IM3S2     ",  -1.00000
"dResS2IM3 ","IM3       ",   1.00000
"dBurS1IM3 ","IM3S1     ",  -1.00000
"dBurS1IM3 ","IM3S2     ",   1.00000
"dBurS2IM3 ","IM3S2     ",  -1.00000
"dDigS1IM3 ","IM3S1     ",   1.00000
"dDigS1IM3 ","IM3S2     ",  -1.00000
"dDigS2IM3 ","IM3S2     ",   1.00000
"dResS1AAP ","AAP       ",   1.00000
"dResS1AAP ","AAPS1     ",  -1.00000
"dResS2AAP ","AAPS2     ",  -1.00000
"dResS2AAP ","AAP       ",   1.00000
"dBurS1AAP ","AAPS1     ",  -1.00000
"dBurS1AAP ","AAPS2     ",   1.00000
"dBurS2AAP ","AAPS2     ",  -1.00000
"dDigS1AAP ","AAPS1     ",   1.00000
"dDigS1AAP ","AAPS2     ",  -1.00000
"dDigS2AAP ","AAPS2     ",   1.00000
"dSorpCd   ","Cd-dis    ",  -1.00000
"dSorpCd   ","Cd-par    ",   1.00000
"dSorpCr   ","Cr-dis    ",  -1.00000
"dSorpCr   ","Cr-par    ",   1.00000
"dSorpCu   ","Cu-dis    ",  -1.00000
"dSorpCu   ","Cu-par    ",   1.00000
"dSorpHg   ","Hg-dis    ",  -1.00000
"dSorpHg   ","Hg-par    ",   1.00000
"dSorpNi   ","Ni-dis    ",  -1.00000
"dSorpNi   ","Ni-par    ",   1.00000
"dSorpPb   ","Pb-dis    ",  -1.00000
"dSorpPb   ","Pb-par    ",   1.00000
"dSorpAs   ","As-dis    ",  -1.00000
"dSorpAs   ","As-par    ",   1.00000
"dSorpVa   ","Va-dis    ",  -1.00000
"dSorpVa   ","Va-par    ",   1.00000
"dSorpZn   ","Zn-dis    ",  -1.00000
"dSorpZn   ","Zn-par    ",   1.00000
"dSorpCdS1 ","CdS1-dis  ",  -1.00000
"dSorpCdS1 ","CdS1-par  ",   1.00000
"dSorpCrS1 ","CrS1-dis  ",  -1.00000
"dSorpCrS1 ","CrS1-par  ",   1.00000
"dSorpCuS1 ","CuS1-dis  ",  -1.00000
"dSorpCuS1 ","CuS1-par  ",   1.00000
"dSorpHgS1 ","HgS1-dis  ",  -1.00000
"dSorpHgS1 ","HgS1-par  ",   1.00000
"dSorpNiS1 ","NiS1-dis  ",  -1.00000
"dSorpNiS1 ","NiS1-par  ",   1.00000
"dSorpPbS1 ","PbS1-dis  ",  -1.00000
"dSorpPbS1 ","PbS1-par  ",   1.00000
"dSorpAsS1 ","AsS1-dis  ",  -1.00000
"dSorpAsS1 ","AsS1-par  ",   1.00000
"dSorpVaS1 ","VaS1-dis  ",  -1.00000
"dSorpVaS1 ","VaS1-par  ",   1.00000
"dSorpZnS1 ","ZnS1-dis  ",  -1.00000
"dSorpZnS1 ","ZnS1-par  ",   1.00000
"dSorpCdS2 ","CdS2-dis  ",  -1.00000
"dSorpCdS2 ","CdS2-par  ",   1.00000
"dSorpCrS2 ","CrS2-dis  ",  -1.00000
"dSorpCrS2 ","CrS2-par  ",   1.00000
"dSorpCuS2 ","CuS2-dis  ",  -1.00000
"dSorpCuS2 ","CuS2-par  ",   1.00000
"dSorpHgS2 ","HgS2-dis  ",  -1.00000
"dSorpHgS2 ","HgS2-par  ",   1.00000
"dSorpNiS2 ","NiS2-dis  ",  -1.00000
"dSorpNiS2 ","NiS2-par  ",   1.00000
"dSorpPbS2 ","PbS2-dis  ",  -1.00000
"dSorpPbS2 ","PbS2-par  ",   1.00000
"dSorpAsS2 ","AsS2-dis  ",  -1.00000
"dSorpAsS2 ","AsS2-par  ",   1.00000
"dSorpVaS2 ","VaS2-dis  ",  -1.00000
"dSorpVaS2 ","VaS2-par  ",   1.00000
"dSorpZnS2 ","ZnS2-dis  ",  -1.00000
"dSorpZnS2 ","ZnS2-par  ",   1.00000
"dSorp153S1","153S1-Dis ",  -1.00000
"dSorp153S1","153S1-Par ",   1.00000
"dSorpAtrS1","AtrS1-Dis ",  -1.00000
"dSorpAtrS1","AtrS1-Par ",   1.00000
"dSorpBaPS1","BaPS1-Dis ",  -1.00000
"dSorpBaPS1","BaPS1-Par ",   1.00000
"dSorpDiuS1","DiuS1-Dis ",  -1.00000
"dSorpDiuS1","DiuS1-Par ",   1.00000
"dSorpFluS1","FluS1-Dis ",  -1.00000
"dSorpFluS1","FluS1-Par ",   1.00000
"dSorpHCBS1","HCBS1-Dis ",  -1.00000
"dSorpHCBS1","HCBS1-Par ",   1.00000
"dSorpHCHS1","HCHS1-Dis ",  -1.00000
"dSorpHCHS1","HCHS1-Par ",   1.00000
"dSorpMefS1","MefS1-Dis ",  -1.00000
"dSorpMefS1","MefS1-Par ",   1.00000
"dSorp153S2","153S2-Dis ",  -1.00000
"dSorp153S2","153S2-Par ",   1.00000
"dSorpAtrS2","AtrS2-Dis ",  -1.00000
"dSorpAtrS2","AtrS2-Par ",   1.00000
"dSorpBaPS2","BaPS2-Dis ",  -1.00000
"dSorpBaPS2","BaPS2-Par ",   1.00000
"dSorpDiuS2","DiuS2-Dis ",  -1.00000
"dSorpDiuS2","DiuS2-Par ",   1.00000
"dSorpFluS2","FluS2-Dis ",  -1.00000
"dSorpFluS2","FluS2-Par ",   1.00000
"dSorpHCBS2","HCBS2-Dis ",  -1.00000
"dSorpHCBS2","HCBS2-Par ",   1.00000
"dSorpHCHS2","HCHS2-Dis ",  -1.00000
"dSorpHCHS2","HCHS2-Par ",   1.00000
"dSorpMefS2","MefS2-Dis ",  -1.00000
"dSorpMefS2","MefS2-Par ",   1.00000
"dSorp153  ","153-dis   ",  -1.00000
"dSorp153  ","153-par   ",   1.00000
"dSorpAtr  ","Atr-dis   ",  -1.00000
"dSorpAtr  ","Atr-par   ",   1.00000
"dSorpBaP  ","BaP-dis   ",  -1.00000
"dSorpBaP  ","BaP-par   ",   1.00000
"dSorpDiu  ","Diu-dis   ",  -1.00000
"dSorpDiu  ","Diu-par   ",   1.00000
"dSorpFlu  ","Flu-dis   ",  -1.00000
"dSorpFlu  ","Flu-par   ",   1.00000
"dSorpHCB  ","HCB-dis   ",  -1.00000
"dSorpHCB  ","HCB-par   ",   1.00000
"dSorpHCH  ","HCH-dis   ",  -1.00000
"dSorpHCH  ","HCH-par   ",   1.00000
"dSorpMef  ","Mef-dis   ",  -1.00000
"dSorpMef  ","Mef-par   ",   1.00000
"dSedResALG","UlvaF     ",   1.00000
"dSedResALG","UlvaS     ",   1.00000
"dSedRes01 ","BLOOMALG01",   1.00000
"dSedRes02 ","BLOOMALG02",   1.00000
"dSedRes03 ","BLOOMALG03",   1.00000
"dSedRes04 ","BLOOMALG04",   1.00000
"dSedRes05 ","BLOOMALG05",   1.00000
"dSedRes06 ","BLOOMALG06",   1.00000
"dSedRes07 ","BLOOMALG07",   1.00000
"dSedRes08 ","BLOOMALG08",   1.00000
"dSedRes09 ","BLOOMALG09",   1.00000
"dSedRes10 ","BLOOMALG10",   1.00000
"dSedRes11 ","BLOOMALG11",   1.00000
"dSedRes12 ","BLOOMALG12",   1.00000
"dSedRes13 ","BLOOMALG13",   1.00000
"dSedRes14 ","BLOOMALG14",   1.00000
"dSedRes15 ","BLOOMALG15",   1.00000
"dSedRes16 ","BLOOMALG16",   1.00000
"dSedRes17 ","BLOOMALG17",   1.00000
"dSedRes18 ","BLOOMALG18",   1.00000
"dSedRes19 ","BLOOMALG19",   1.00000
"dSedRes20 ","BLOOMALG20",   1.00000
"dSedRes21 ","BLOOMALG21",   1.00000
"dSedRes22 ","BLOOMALG22",   1.00000
"dSedRes23 ","BLOOMALG23",   1.00000
"dSedRes24 ","BLOOMALG24",   1.00000
"dSedRes25 ","BLOOMALG25",   1.00000
"dSedRes26 ","BLOOMALG26",   1.00000
"dSedRes27 ","BLOOMALG27",   1.00000
"dSedRes28 ","BLOOMALG28",   1.00000
"dSedRes29 ","BLOOMALG29",   1.00000
"dSedRes30 ","BLOOMALG30",   1.00000
"dGrzDisC  ","OXY       ",  -2.67000
"dGrzDisC  ","TIC       ",   1.00000
"dGrzDisN  ","NH4       ",   1.00000
"dGrzDisN  ","H+        ",  -0.07100
"dGrzDisN  ","ALKA      ",   4.35700
"dGrzDisP  ","PO4       ",   1.00000
"dGrzDisP  ","H+        ",   0.09700
"dGrzDisP  ","ALKA      ",  -5.65600
"dGrzDisSi ","Si        ",   1.00000
"dGrzPOC1  ","POC1      ",   1.00000
"dGrzPON1  ","PON1      ",   1.00000
"dGrzPOP1  ","POP1      ",   1.00000
"dGrzPOSi1 ","Opal      ",   1.00000
"dGrzDetCS1","DetCS1    ",   1.00000
"dGrzDetNS1","DetNS1    ",   1.00000
"dGrzDetPS1","DetPS1    ",   1.00000
"dGrzDetSS1","DetSiS1   ",   1.00000
"dGrzGreen ","Green     ",  -1.00000
"dGrzDiat  ","Diat      ",  -1.00000
"dGrzALG01 ","BLOOMALG01",  -1.00000
"dGrzALG02 ","BLOOMALG02",  -1.00000
"dGrzALG03 ","BLOOMALG03",  -1.00000
"dGrzALG04 ","BLOOMALG04",  -1.00000
"dGrzALG05 ","BLOOMALG05",  -1.00000
"dGrzALG06 ","BLOOMALG06",  -1.00000
"dGrzALG07 ","BLOOMALG07",  -1.00000
"dGrzALG08 ","BLOOMALG08",  -1.00000
"dGrzALG09 ","BLOOMALG09",  -1.00000
"dGrzALG10 ","BLOOMALG10",  -1.00000
"dGrzALG11 ","BLOOMALG11",  -1.00000
"dGrzALG12 ","BLOOMALG12",  -1.00000
"dGrzALG13 ","BLOOMALG13",  -1.00000
"dGrzALG14 ","BLOOMALG14",  -1.00000
"dGrzALG15 ","BLOOMALG15",  -1.00000
"dGrzALG16 ","BLOOMALG16",  -1.00000
"dGrzALG17 ","BLOOMALG17",  -1.00000
"dGrzALG18 ","BLOOMALG18",  -1.00000
"dGrzALG19 ","BLOOMALG19",  -1.00000
"dGrzALG20 ","BLOOMALG20",  -1.00000
"dGrzALG21 ","BLOOMALG21",  -1.00000
"dGrzALG22 ","BLOOMALG22",  -1.00000
"dGrzALG23 ","BLOOMALG23",  -1.00000
"dGrzALG24 ","BLOOMALG24",  -1.00000
"dGrzALG25 ","BLOOMALG25",  -1.00000
"dGrzALG26 ","BLOOMALG26",  -1.00000
"dGrzALG27 ","BLOOMALG27",  -1.00000
"dGrzALG28 ","BLOOMALG28",  -1.00000
"dGrzALG29 ","BLOOMALG29",  -1.00000
"dGrzALG30 ","BLOOMALG30",  -1.00000
"dVolat153 ","153       ",  -1.00000
"dVolat153 ","153-dis   ",  -1.00000
"dVolatHCB ","HCB       ",  -1.00000
"dVolatHCB ","HCB-dis   ",  -1.00000
"dVolatHCH ","HCH       ",  -1.00000
"dVolatHCH ","HCH-dis   ",  -1.00000
"dVolatFlu ","Flu       ",  -1.00000
"dVolatFlu ","Flu-dis   ",  -1.00000
"dVolatBaP ","BaP       ",  -1.00000
"dVolatBaP ","BaP-dis   ",  -1.00000
"dVolatAtr ","Atr       ",  -1.00000
"dVolatAtr ","Atr-dis   ",  -1.00000
"dVolatMef ","Mef       ",  -1.00000
"dVolatMef ","Mef-dis   ",  -1.00000
"dVolatDiu ","Diu       ",  -1.00000
"dVolatDiu ","Diu-dis   ",  -1.00000
"dLoss153  ","153       ",  -1.00000
"dLossHCB  ","HCB       ",  -1.00000
"dLossHCH  ","HCH       ",  -1.00000
"dLossFlu  ","Flu       ",  -1.00000
"dLossBaP  ","BaP       ",  -1.00000
"dLossAtr  ","Atr       ",  -1.00000
"dLossMef  ","Mef       ",  -1.00000
"dLossDiu  ","Diu       ",  -1.00000
"dLoss153S1","153S1     ",  -1.00000
"dLossHCBS1","HCBS1     ",  -1.00000
"dLossHCHS1","HCHS1     ",  -1.00000
"dLossFluS1","FluS1     ",  -1.00000
"dLossBaPS1","BaPS1     ",  -1.00000
"dLossAtrS1","AtrS1     ",  -1.00000
"dLossMefS1","MefS1     ",  -1.00000
"dLossDiuS1","DiuS1     ",  -1.00000
"dLoss153S2","153S2     ",  -1.00000
"dLossHCBS2","HCBS2     ",  -1.00000
"dLossHCHS2","HCHS2     ",  -1.00000
"dLossFluS2","FluS2     ",  -1.00000
"dLossBaPS2","BaPS2     ",  -1.00000
"dLossAtrS2","AtrS2     ",  -1.00000
"dLossMefS2","MefS2     ",  -1.00000
"dLossDiuS2","DiuS2     ",  -1.00000
"dSedCd    ","Cd        ",  -1.00000
"dSedCd    ","Cd-par    ",  -1.00000
"dSedCd    ","CdS1      ",   1.00000
"dSedCd    ","CdS1-par  ",   1.00000
"dSedCu    ","Cu        ",  -1.00000
"dSedCu    ","Cu-par    ",  -1.00000
"dSedCu    ","CuS1      ",   1.00000
"dSedCu    ","CuS1-par  ",   1.00000
"dSedZn    ","Zn        ",  -1.00000
"dSedZn    ","Zn-par    ",  -1.00000
"dSedZn    ","ZnS1      ",   1.00000
"dSedZn    ","ZnS1-par  ",   1.00000
"dSedHg    ","Hg        ",  -1.00000
"dSedHg    ","Hg-par    ",  -1.00000
"dSedHg    ","HgS1      ",   1.00000
"dSedHg    ","HgS1-par  ",   1.00000
"dSedNi    ","Ni        ",  -1.00000
"dSedNi    ","Ni-par    ",  -1.00000
"dSedNi    ","NiS1      ",   1.00000
"dSedNi    ","NiS1-par  ",   1.00000
"dSedPb    ","Pb        ",  -1.00000
"dSedPb    ","Pb-par    ",  -1.00000
"dSedPb    ","PbS1      ",   1.00000
"dSedPb    ","PbS1-par  ",   1.00000
"dSedCr    ","Cr        ",  -1.00000
"dSedCr    ","Cr-par    ",  -1.00000
"dSedCr    ","CrS1      ",   1.00000
"dSedCr    ","CrS1-par  ",   1.00000
"dSedAs    ","As        ",  -1.00000
"dSedAs    ","As-par    ",  -1.00000
"dSedAs    ","AsS1      ",   1.00000
"dSedAs    ","AsS1-par  ",   1.00000
"dSedVa    ","Va        ",  -1.00000
"dSedVa    ","Va-par    ",  -1.00000
"dSedVa    ","VaS1      ",   1.00000
"dSedVa    ","VaS1-par  ",   1.00000
"dSed153   ","153       ",  -1.00000
"dSed153   ","153-par   ",  -1.00000
"dSed153   ","153S1     ",   1.00000
"dSed153   ","153S1-par ",   1.00000
"dSedHCB   ","HCB       ",  -1.00000
"dSedHCB   ","HCB-par   ",  -1.00000
"dSedHCB   ","HCBS1     ",   1.00000
"dSedHCB   ","HCBS1-par ",   1.00000
"dSedHCH   ","HCH       ",  -1.00000
"dSedHCH   ","HCH-par   ",  -1.00000
"dSedHCH   ","HCHS1     ",   1.00000
"dSedHCH   ","HCHS1-par ",   1.00000
"dSedFlu   ","Flu       ",  -1.00000
"dSedFlu   ","Flu-par   ",  -1.00000
"dSedFlu   ","FluS1     ",   1.00000
"dSedFlu   ","FluS1-par ",   1.00000
"dSedBap   ","Bap       ",  -1.00000
"dSedBap   ","Bap-par   ",  -1.00000
"dSedBap   ","BapS1     ",   1.00000
"dSedBap   ","BapS1-par ",   1.00000
"dSedAtr   ","Atr       ",  -1.00000
"dSedAtr   ","Atr-par   ",  -1.00000
"dSedAtr   ","AtrS1     ",   1.00000
"dSedAtr   ","AtrS1-par ",   1.00000
"dSedMef   ","Mef       ",  -1.00000
"dSedMef   ","Mef-par   ",  -1.00000
"dSedMef   ","MefS1     ",   1.00000
"dSedMef   ","MefS1-par ",   1.00000
"dSedDiu   ","Diu       ",  -1.00000
"dSedDiu   ","Diu-par   ",  -1.00000
"dSedDiu   ","DiuS1     ",   1.00000
