"Config:   ","WAQS      ","WAQ       ","Sobek     ","Delft3D   ","
"SedDiat   ",A,A,A,A,
"Sed_Gre   ",A,A,A,A,
"SEDALG    ", ,A,A,A,
"SEDALG01  ", , ,A,A,
"SEDALG02  ", , ,A,A,
"SEDALG03  ", , ,A,A,
"SEDALG04  ", , ,A,A,
"SEDALG05  ", , ,A,A,
"SEDALG06  ", , ,A,A,
"SEDALG07  ", , ,A,A,
"SEDALG08  ", , ,A,A,
"SEDALG09  ", , ,A,A,
"SEDALG10  ", , ,A,A,
"SEDALG11  ", , ,A,A,
"SEDALG12  ", , ,A,A,
"SEDALG13  ", , ,A,A,
"SEDALG14  ", , ,A,A,
"SEDALG15  ", , ,A,A,
"SEDALG16  ", , ,A,A,
"SEDALG17  ", , ,A,A,
"SEDALG18  ", , ,A,A,
"SEDALG19  ", , ,A,A,
"SEDALG20  ", , ,A,A,
"SEDALG21  ", , ,A,A,
"SEDALG22  ", , ,A,A,
"SEDALG23  ", , ,A,A,
"SEDALG24  ", , ,A,A,
"SEDALG25  ", , ,A,A,
"SEDALG26  ", , ,A,A,
"SEDALG27  ", , ,A,A,
"SEDALG28  ", , ,A,A,
"SEDALG29  ", , ,A,A,
"SEDALG30  ", , ,A,A,
"S_CBOD51  ",A,A,A,A,
"S_CBOD52  ",A,A,A,A,
"S_CBOD53  ",A,A,A,A,
"S_CBODu1  ",A,A,A,A,
"S_CBODu2  ",A,A,A,A,
"S_CODCr   ",A,A,A,A,
"S_CODMn   ",A,A,A,A,
"S_NBOD5   ",A,A,A,A,
"S_NBODu   ",A,A,A,A,
"SED_SOD   ",A,A,A,A,
"SedPhBlo_P", ,A,A,A,
"SedPhBlo  ", , ,A,A,
"SedPhDyn  ",A, ,A,A,
"Sed_MPB1  ",A,A,A,A,
"Sed_MPB2  ",A,A,A,A,
"Sed_Opal  ",A,A,A,A,
"Sed_POC1  ",A,A,A,A,
"Sed_POC2  ",A,A,A,A,
"Sed_POC3  ",A,A,A,A,
"Sed_POC4  ",A,A,A,A,
"Sed_VivP  ",A,A,A,A,
"Sed_ApatP ",A,A,A,A,
"Sed_Fe3pa ",A,A,A,A,
"Sed_Fe3pc ",A,A,A,A,
"Sed_FeS   ",A,A,A,A,
"Sed_FeS2  ",A,A,A,A,
"Sed_FeCO3 ",A,A,A,A,
"SedNPOC1  ",A,A,A,A,
"SedNPOC2  ",A,A,A,A,
"SedNPOC3  ",A,A,A,A,
"SedNPOC4  ",A,A,A,A,
"Sum_Sedim ",A,A,A,A,
"Sed_AAP   ",A,A,A,A,
"Sed_CAAP  ",A,A,A,A,
"Res_DM    ",A,A,A,A,
"Bur_DM    ",A,A,A,A,
"Dig_DM    ",A,A,A,A,
"S12TraDetC",A,A,A,A,
"S12TraDetN",A,A,A,A,
"S12TraDetP",A,A,A,A,
"S12TraDetS",A,A,A,A,
"S12TraOOC ",A,A,A,A,
"S12TraOON ",A,A,A,A,
"S12TraOOP ",A,A,A,A,
"S12TraOOSi",A,A,A,A,
"S12TraDiat",A,A,A,A,
"ResN_DiaS1",A,A,A,A,
"ResN_DiaS2",A,A,A,A,
"S12TraMPB1",A,A,A,A,
"S12TraMPB2",A,A,A,A,
"S12TraIM1 ",A,A,A,A,
"S12TraIM2 ",A,A,A,A,
"S12TraIM3 ",A,A,A,A,
"S12TraAAP ",A,A,A,A,
"AdvTra    ",A,A,A,A,
"DSPTra    ",A,A,A,A,
"RFPART_Cd ",A,A,A,A,
"RFPART_Cu ",A,A,A,A,
"RFPART_Pb ",A,A,A,A,
"RFPART_Zn ",A,A,A,A,
"RFPART_Hg ",A,A,A,A,
"RFPART_Ni ",A,A,A,A,
"RFPART_Cr ",A,A,A,A,
"RFPART_As ",A,A,A,A,
"PartWK_Cd ",A,A,A,A,
"PartWK_Cr ",A,A,A,A,
"PartWK_Cu ",A,A,A,A,
"PartWK_Hg ",A,A,A,A,
"PartWK_Ni ",A,A,A,A,
"PartWK_Pb ",A,A,A,A,
"PartWK_As ",A,A,A,A,
"PartWK_Va ",A,A,A,A,
"PartWK_Zn ",A,A,A,A,
"PartS1_Cd ",A,A,A,A,
"PartS1_Cr ",A,A,A,A,
"PartS1_Cu ",A,A,A,A,
"PartS1_Hg ",A,A,A,A,
"PartS1_Ni ",A,A,A,A,
"PartS1_Pb ",A,A,A,A,
"PartS1_As ",A,A,A,A,
"PartS1_Va ",A,A,A,A,
"PartS1_Zn ",A,A,A,A,
"PartS2_Cd ",A,A,A,A,
"PartS2_Cr ",A,A,A,A,
"PartS2_Cu ",A,A,A,A,
"PartS2_Hg ",A,A,A,A,
"PartS2_Ni ",A,A,A,A,
"PartS2_Pb ",A,A,A,A,
"PartS2_As ",A,A,A,A,
"PartS2_Va ",A,A,A,A,
"PartS2_Zn ",A,A,A,A,
"PartS1_153",A,A,A,A,
"PartS1_Atr",A,A,A,A,
"PartS1_BaP",A,A,A,A,
"PartS1_Diu",A,A,A,A,
"PartS1_Flu",A,A,A,A,
"PartS1_HCB",A,A,A,A,
"PartS1_HCH",A,A,A,A,
"PartS1_Mef",A,A,A,A,
"PartS2_153",A,A,A,A,
"PartS2_Atr",A,A,A,A,
"PartS2_BaP",A,A,A,A,
"PartS2_Diu",A,A,A,A,
"PartS2_Flu",A,A,A,A,
"PartS2_HCB",A,A,A,A,
"PartS2_HCH",A,A,A,A,
"PartS2_Mef",A,A,A,A,
"PartWK_153",A,A,A,A,
"PartWK_Atr",A,A,A,A,
"PartWK_BaP",A,A,A,A,
"PartWK_Diu",A,A,A,A,
"PartWK_Flu",A,A,A,A,
"PartWK_HCB",A,A,A,A,
"PartWK_HCH",A,A,A,A,
"PartWK_Mef",A,A,A,A,
"TraSe2_IM1",A,A,A,A,
"TraSe2_OXY",A,A,A,A,
"TraSe2_BaP",A,A,A,A,
"TrSe2_POC1",A,A,A,A,
"TrSe2_POC2",A,A,A,A,
"TrSe2_POC3",A,A,A,A,
"TrSe2_PON1",A,A,A,A,
"TrSe2_PON2",A,A,A,A,
"TrSe2_PON3",A,A,A,A,
"TrSe2_POP1",A,A,A,A,
"TrSe2_POP2",A,A,A,A,
"TrSe2_POP3",A,A,A,A,
"TrSe2_POC4",A,A,A,A,
"TrSe2_PON4",A,A,A,A,
"TrSe2_POP4",A,A,A,A,
"TrSe2_POS1",A,A,A,A,
"TrSe2_POS2",A,A,A,A,
"TrSe2_POS3",A,A,A,A,
"TrSe2_POS4",A,A,A,A,
"TraSe2_DOC",A,A,A,A,
"TraSe2_DON",A,A,A,A,
"TraSe2_DOP",A,A,A,A,
"TraSe2_DOS",A,A,A,A,
"TraSe2_NH4",A,A,A,A,
"TraSe2_PO4",A,A,A,A,
"TraSe2_NO3",A,A,A,A,
"TraSe2_SO4",A,A,A,A,
"TraSe2_CH4",A,A,A,A,
"TraSe2_SUD",A,A,A,A,
"TraSe2_SUP",A,A,A,A,
"TraSe2_IM2",A,A,A,A,
"TraSe2_IM3",A,A,A,A,
"TraSe2_Cl ",A,A,A,A,
"TraSe2_Sal",A,A,A,A,
"TraSe2_AAP",A,A,A,A,
"TraSe2_Si ",A,A,A,A,
"TrSe2_VIVP",A,A,A,A,
"TrSe2_APAT",A,A,A,A,
"TrSe2_F3pa",A,A,A,A,
"TrSe2_F3pc",A,A,A,A,
"TrSe2_Fe3d",A,A,A,A,
"TrSe2_Fe2d",A,A,A,A,
"TrSe2_FeS ",A,A,A,A,
"TrSe2_FeS2",A,A,A,A,
"TrSe2_FCO3",A,A,A,A,
"TrSe2_Opal",A,A,A,A,
"TraSe2_TIC",A,A,A,A,
"TrSe2_Alka",A,A,A,A,
"TrSe2_MPB1",A,A,A,A,
"TrSe2_MPB2",A,A,A,A,
"TrSe2Alg01",A,A,A,A,
"TrSe2Alg02",A,A,A,A,
"TrSe2Alg03",A,A,A,A,
"TrSe2Alg04",A,A,A,A,
"TrSe2Alg05",A,A,A,A,
"TrSe2Alg06",A,A,A,A,
"TrSe2Alg07",A,A,A,A,
"TrSe2Alg08",A,A,A,A,
"TrSe2Alg09",A,A,A,A,
"TrSe2Alg10",A,A,A,A,
"TrSe2Alg11",A,A,A,A,
"TrSe2Alg12",A,A,A,A,
