r2_cid,r2_sid
"Delft3D   ","POC5      "
"Delft3D   ","PON5      "
"Delft3D   ","POP5      "
"Delft3D   ","POS5      "
"Delft3D   ","SOD       "
"Delft3D   ","Bulkvolume"
"Delft3D   ","Cd-Dis    "
"Delft3D   ","Cd-Par    "
"Delft3D   ","Cr-Dis    "
"Delft3D   ","Cr-Par    "
"Delft3D   ","Cu-Dis    "
"Delft3D   ","Cu-Par    "
"Delft3D   ","Hg-Dis    "
"Delft3D   ","Hg-Par    "
"Delft3D   ","Ni-Dis    "
"Delft3D   ","Ni-Par    "
"Delft3D   ","Pb-Dis    "
"Delft3D   ","Pb-Par    "
"Delft3D   ","As-Dis    "
"Delft3D   ","As-Par    "
"Delft3D   ","Va-Dis    "
"Delft3D   ","Va-Par    "
"Delft3D   ","Zn-Dis    "
"Delft3D   ","Zn-Par    "
"Delft3D   ","CdS1      "
"Delft3D   ","CdS1-Dis  "
"Delft3D   ","CdS1-Par  "
"Delft3D   ","CrS1      "
"Delft3D   ","CrS1-Dis  "
"Delft3D   ","CrS1-Par  "
"Delft3D   ","CuS1      "
"Delft3D   ","CuS1-Dis  "
"Delft3D   ","CuS1-Par  "
"Delft3D   ","HgS1      "
"Delft3D   ","HgS1-Dis  "
"Delft3D   ","HgS1-Par  "
"Delft3D   ","NiS1      "
"Delft3D   ","NiS1-Dis  "
"Delft3D   ","NiS1-Par  "
"Delft3D   ","PbS1      "
"Delft3D   ","PbS1-Dis  "
"Delft3D   ","PbS1-Par  "
"Delft3D   ","AsS1      "
"Delft3D   ","AsS1-Dis  "
"Delft3D   ","AsS1-Par  "
"Delft3D   ","VaS1      "
"Delft3D   ","VaS1-Dis  "
"Delft3D   ","VaS1-Par  "
"Delft3D   ","ZnS1      "
"Delft3D   ","ZnS1-Dis  "
"Delft3D   ","ZnS1-Par  "
"Delft3D   ","CdS2      "
"Delft3D   ","CdS2-Dis  "
"Delft3D   ","CdS2-Par  "
"Delft3D   ","CrS2      "
"Delft3D   ","CrS2-Dis  "
"Delft3D   ","CrS2-Par  "
"Delft3D   ","CuS2      "
"Delft3D   ","CuS2-Dis  "
"Delft3D   ","CuS2-Par  "
"Delft3D   ","HgS2      "
"Delft3D   ","HgS2-Dis  "
"Delft3D   ","HgS2-Par  "
"Delft3D   ","NiS2      "
"Delft3D   ","NiS2-Dis  "
"Delft3D   ","NiS2-Par  "
"Delft3D   ","PbS2      "
