old_name,new_name,old_default,configuration,serial,action_type
"RcOONHigh ","ku_dMdcN20",    0.00000    ,"          ",2012032801,         9
"kl_dMdcN20","ku_dMdcN20",    0.00000    ,"          ",2012032801,         8
"TcOON     ","kT_dec    ",    0.00000    ,"          ",2012032801,         2
"ZMinOOP   ","n.a.      ",    6.00000    ,"          ",2012032801,         7
"RcOOP     ","kl_dMdcP20",    0.00000    ,"          ",2012032801,         2
"RcOOPHigh ","ku_dMdcP20",    0.00000    ,"          ",2012032801,         9
"kl_dMdcP20","ku_dMdcP20",    0.00000    ,"          ",2012032801,         8
"TcOOP     ","kT_dec    ",    0.00000    ,"          ",2012032801,         2
"WM_OOSi   ","n.a.      ",    9.00000    ,"          ",2012032801,         5
"ZMinOOSi  ","n.a.      ",    9.00000    ,"          ",2012032801,         7
"RcOOSi    ","n.a.      ",    9.00000    ,"          ",2012032801,         7
"RcOOSIHigh","n.a.      ",    9.00000    ,"          ",2012032801,         7
"TcOOSi    ","n.a.      ",    9.00000    ,"          ",2012032801,         7
"SedDetC   ","Sed_POC1  ",    0.00000    ,"          ",2012032801,         1
"SedDetC   ","VSedPOC1  ",   0.100000    ,"          ",2012032801,         6
"SedDetC   ","VSedOpal  ",   0.100000    ,"          ",2012032801,         6
"Sed_OOC   ","Sed_POC2  ",    0.00000    ,"          ",2012032801,         1
"Sed_OOC   ","VSedPOC2  ",   0.100000    ,"          ",2012032801,         6
"Sed_OOC   ","VSedOpal  ",   0.100000    ,"          ",2012032801,         6
"SedN_Det  ","Sed_Opal  ",    0.00000    ,"          ",2012032801,         4
"SedN_Det  ","SedNPOC1  ",    0.00000    ,"          ",2012032801,         1
"SedN_OOC  ","Sed_Opal  ",    0.00000    ,"          ",2012032801,         4
"SedN_OOC  ","SedNPOC2  ",    0.00000    ,"          ",2012032801,         1
"ZSedDetC  ","ZSedPOC1  ",    0.00000    ,"          ",2012032801,         2
"VSedDetC  ","VSedPOC1  ",    0.00000    ,"          ",2012032801,         2
"TauCSDetC ","TaucSPOC1 ",    0.00000    ,"          ",2012032801,         2
"ZSedOOC   ","ZSedPOC2  ",    0.00000    ,"          ",2012032801,         2
"VSedOOC   ","VSedPOC2  ",    0.00000    ,"          ",2012032801,         2
"TauCSOOC  ","TaucSPOC2 ",    0.00000    ,"          ",2012032801,         2
"VSedPOC1  ","VSedOpal  ",    0.00000    ,"          ",2012032801,         8
"VSedPOC2  ","VSedOpal  ",    0.00000    ,"          ",2012032801,         8
"TauCSPOC1 ","TaucSOpal ",    0.00000    ,"          ",2012032801,         8
"TauCSPOC2 ","TaucSOpal ",    0.00000    ,"          ",2012032801,         8
"ExtPODVL  ","ExtPOGVL  ",    0.00000    ,"          ",2012032801,         1
"ExtPODVL  ","ExtVLPOC1 ",   0.470000    ,"          ",2012032801,         6
"ExtPODVL  ","ExtVLPOC2 ",   0.600000E-01,"          ",2012032801,         6
"ExtVLDetC ","ExtVLPOC1 ",    0.00000    ,"          ",2012032801,         2
"ExtVLOOC  ","ExtVLPOC2 ",    0.00000    ,"          ",2012032801,         2
"ExtPODUV  ","ExtPOGUV  ",    0.00000    ,"          ",2012032801,         1
"ExtPODUV  ","ExtUVPOC1 ",   0.470000    ,"          ",2012032801,         6
"ExtPODUV  ","ExtUVPOC2 ",   0.600000E-01,"          ",2012032801,         6
"ExtPODUV  ","ExtUVPOC1 ",    0.00000    ,"          ",2012032801,         1
"ExtUVOOC  ","ExtUVPOC2 ",    0.00000    ,"          ",2012032801,         2
"Extinc_VL ","Extinc_VLG",    0.00000    ,"          ",2012032801,         1
"DisHum    ","DOC       ",    0.00000    ,"          ",2012032801,         2
"DisHumScal","ExtVLDOC  ",    0.00000    ,"          ",2012032801,         2
"Extinc_UV ","Extinc_UVG",    0.00000    ,"          ",2012032801,         1
"DisHum    ","DOC       ",    0.00000    ,"          ",2012032801,         2
"DisHumScal","ExtUVDOC  ",    0.00000    ,"          ",2012032801,         2
"SedPODyn  ","SedPOgem  ",    0.00000    ,"          ",2012032801,         1
"SedPOgem  ","n.a.      ",    0.00000    ,"          ",2012032801,         5
"ExtPOGVL  ","n.a.      ",    0.00000    ,"          ",2012032801,         5
"ExtPOGUV  ","n.a.      ",    0.00000    ,"          ",2012032801,         5
"POC_gem   ","n.a.      ",    0.00000    ,"          ",2012032801,         5
"DEC_BODC  ","n.a.      ",    0.00000    ,"          ",2012032801,         5
"SED_BODC  ","n.a.      ",    0.00000    ,"          ",2012032801,         5
"Bod5      ","n.a.      ",    0.00000    ,"          ",2012032801,         5
"ExplNutflx","n.a.      ",    0.00000    ,"          ",2012032801,         5
"CalSand   ","n.a.      ",    11.0000    ,"          ",2012032801,         5
"Charon    ","n.a.      ",    12.0000    ,"          ",2012032801,         5
"Vertdisper","n.a.      ",    0.00000    ,"          ",2012032801,         5
"Grd_Rho   ","n.a.      ",    0.00000    ,"          ",2012032801,         5
"S2X_Rho   ","n.a.      ",    0.00000    ,"          ",2012032801,         5
"VGrdToS   ","n.a.      ",    0.00000    ,"          ",2012032801,         5
